Time,Abertura,Máximo,Mínimo,Fechamento,Quantidade,Spread,Volume,m20,m40,m80
2018-09-25 10:00:00,15.79,15.86,15.72,15.85,5279,1,3004500,,,
2018-09-25 11:00:00,15.84,15.91,15.78,15.86,3890,1,2389600,,,
2018-09-25 12:00:00,15.86,15.97,15.85,15.91,2710,1,811600,,,
2018-09-25 13:00:00,15.91,15.91,15.84,15.89,2910,1,743700,,,
2018-09-25 14:00:00,15.9,15.91,15.8,15.82,3178,1,874600,,,
2018-09-25 15:00:00,15.82,16.02,15.81,15.96,5732,1,2172300,,,
2018-09-25 16:00:00,15.96,15.99,15.89,15.92,2847,1,1451100,,,
2018-09-26 10:00:00,15.92,16.12,15.84,16.02,1165,1,604600,,,
2018-09-26 11:00:00,16.02,16.25,16.0,16.23,3461,1,2196900,,,
2018-09-26 12:00:00,16.22,16.36,16.16,16.17,3358,1,1418100,,,
2018-09-26 13:00:00,16.17,16.23,16.14,16.19,2345,1,685200,,,
2018-09-26 14:00:00,16.19,16.3,16.17,16.27,3048,1,1218900,,,
2018-09-26 15:00:00,16.26,16.35,16.15,16.18,5052,1,2621300,,,
2018-09-26 16:00:00,16.18,16.33,16.16,16.18,4261,1,2207700,,,
2018-09-27 10:00:00,16.26,16.38,16.22,16.33,3017,1,1441300,,,
2018-09-27 11:00:00,16.33,16.4,16.19,16.3,3803,1,1950400,,,
2018-09-27 12:00:00,16.3,16.35,16.29,16.3,3177,1,1522200,,,
2018-09-27 13:00:00,16.3,16.34,16.24,16.24,3094,1,2428900,,,
2018-09-27 14:00:00,16.26,16.27,16.17,16.22,3162,1,4081600,,,
2018-09-27 15:00:00,16.22,16.25,15.96,16.02,5935,1,4820900,16.093,,
2018-09-27 16:00:00,16.03,16.05,15.96,15.99,8505,1,9431800,16.1,,
2018-09-28 10:00:00,15.9,15.93,15.79,15.88,1672,1,611000,16.101000000000003,,
2018-09-28 11:00:00,15.88,15.92,15.82,15.91,1487,1,629600,16.101,,
2018-09-28 12:00:00,15.91,15.97,15.89,15.94,1144,1,724100,16.1035,,
